S-29A Google 3 0.25517241379310346 S:33, I:0, D:41
S-29A Kardi 3 0.1206896551724138 S:22, I:6, D:7

S-29A Google 4 0.2662473794549266 S:40, I:6, D:81
S-29A Kardi 4 0.14046121593291405 S:28, I:26, D:13

S-29A Google 5 0.23046875 S:23, I:2, D:34
S-29A Kardi 5 0.11328125 S:15, I:5, D:9

S-29A Google 6 0.1724137931034483 S:0, I:0, D:5
S-29A Kardi 6 0.10344827586206896 S:1, I:2, D:0

S-29A Google 7 0.1891891891891892 S:8, I:0, D:6
S-29A Kardi 7 0.20270270270270271 S:10, I:5, D:0

S-29A Google 8 0.18055555555555555 S:4, I:0, D:9
S-29A Kardi 8 0.16666666666666666 S:6, I:4, D:2

S-29A Google 9 0.45714285714285713 S:6, I:2, D:8
S-29A Kardi 9 0.14285714285714285 S:1, I:2, D:2

S-29A Google 10 0.22033898305084745 S:7, I:1, D:5
S-29A Kardi 10 0.13559322033898305 S:5, I:3, D:0

S-29A Google 11 0.1956521739130435 S:2, I:0, D:7
S-29A Kardi 11 0.30434782608695654 S:9, I:0, D:5

S-14B Google 0 0.3987538940809969 S:64, I:1, D:63
S-14B Kardi 0 0.3052959501557632 S:51, I:25, D:22

S-14B Google 1 0.4006024096385542 S:65, I:1, D:67
S-14B Kardi 1 0.3132530120481928 S:49, I:16, D:39

S-14B Google 2 0.36977491961414793 S:61, I:5, D:49
S-14B Kardi 2 0.27009646302250806 S:49, I:13, D:22

S-14B Google 3 0.5118110236220472 S:39, I:0, D:26
S-14B Kardi 3 0.44881889763779526 S:33, I:14, D:10

S-14B Google 4 0.4152823920265781 S:63, I:2, D:60
S-14B Kardi 4 0.2757475083056478 S:43, I:19, D:21

S-14B Google 5 0.3182844243792325 S:71, I:7, D:63
S-14B Kardi 5 0.20993227990970656 S:53, I:19, D:21

S-14B Google 6 0.38095238095238093 S:7, I:0, D:17
S-14B Kardi 6 0.2857142857142857 S:7, I:5, D:6

S-14B Google 7 0.21518987341772153 S:6, I:1, D:10
S-14B Kardi 7 0.31645569620253167 S:14, I:9, D:2

S-14B Google 8 0.3103448275862069 S:2, I:0, D:7
S-14B Kardi 8 0.3103448275862069 S:2, I:2, D:5

S-32D Google 0 0.48 S:44, I:12, D:52
S-32D Kardi 0 0.38222222222222224 S:42, I:30, D:14

S-32D Google 1 0.35494880546075086 S:37, I:0, D:67
S-32D Kardi 1 0.19795221843003413 S:37, I:5, D:16

S-32D Google 2 0.4482758620689655 S:43, I:0, D:61
S-32D Kardi 2 0.3706896551724138 S:47, I:14, D:25

S-32D Google 3 0.39245283018867927 S:27, I:0, D:77
S-32D Kardi 3 0.1660377358490566 S:22, I:9, D:13

S-32D Google 4 0.5410447761194029 S:31, I:1, D:113
S-32D Kardi 4 0.22014925373134328 S:33, I:9, D:17

S-32D Google 5 0.32682926829268294 S:22, I:3, D:42
S-32D Kardi 5 0.1951219512195122 S:20, I:13, D:7

S-32D Google 6 0.5441176470588235 S:10, I:0, D:27
S-32D Kardi 6 0.29411764705882354 S:8, I:1, D:11

S-32D Google 7 0.49038461538461536 S:18, I:0, D:33
